data,suma
2022-01-01,2760000
2022-01-02,3254000
2022-01-03,3534000
2022-01-04,4842000
2022-01-05,5505000
2022-01-06,5580000
2022-01-07,5887000
2022-01-08,4450000
2022-01-09,3544000
2022-01-10,5729000
2022-01-11,5957000
2022-01-12,6244000
2022-01-13,6257000
2022-01-14,6571000
2022-01-15,5296000
2022-01-16,3697000
2022-01-17,6104000
2022-01-18,6342000
2022-01-19,6432000
2022-01-20,6643000
2022-01-21,6725000
2022-01-22,5551000
2022-01-23,3851000
2022-01-24,6208000
2022-01-25,6527000
2022-01-26,6695000
2022-01-27,6839000
2022-01-28,7058000
2022-01-29,5854000
2022-01-30,4035000
2022-01-31,6532000
2022-02-01,6975000
2022-02-02,7021000
2022-02-03,7168000
2022-02-04,7183000
2022-02-05,6006000
2022-02-06,3928000
2022-02-07,6699000
2022-02-08,7150000
2022-02-09,7258000
2022-02-10,7374000
2022-02-11,7336000
2022-02-12,6145000
2022-02-13,4183000
2022-02-14,6397000
2022-02-15,6301000
2022-02-16,6676000
2022-02-17,6923000
2022-02-18,5334000
2022-02-19,5787000
2022-02-20,3887000
2022-02-21,6712000
2022-02-22,7465000
2022-02-23,7660000
2022-02-24,7789000
2022-02-25,7892000
2022-02-26,6536000
2022-02-27,4629000
2022-02-28,7099000
2022-03-01,5490000
2022-03-02,7264000
2022-03-03,5508000
2022-03-04,7530000
2022-03-05,6327000
2022-03-06,4442000
2022-03-07,7080000
2022-03-08,7561000
2022-03-09,7612000
2022-03-10,7766000
2022-03-11,7634000
2022-03-12,6611000
2022-03-13,4551000
2022-03-14,7121000
2022-03-15,7574000
2022-03-16,7597000
2022-03-17,7943000
2022-03-18,7771000
2022-03-19,6631000
2022-03-20,4585000
2022-03-21,7064000
2022-03-22,7599000
2022-03-23,7737000
2022-03-24,7871000
2022-03-25,7945000
2022-03-26,6931000
2022-03-27,4470000
2022-03-28,6935000
2022-03-29,7445000
2022-03-30,7567000
2022-03-31,7697000
2022-04-01,7661000
2022-04-02,6181000
2022-04-03,4652000
2022-04-04,6296000
2022-04-05,6822000
