data,suma
2020-01-01,4022000
2020-01-02,7601000
2020-01-03,8075000
2020-01-04,6593000
2020-01-05,4675000
2020-01-06,9028000
2020-01-07,9545000
2020-01-08,9754000
2020-01-09,9910000
2020-01-10,10157000
2020-01-11,7183000
2020-01-12,4982000
2020-01-13,9924000
2020-01-14,10211000
2020-01-15,10347000
2020-01-16,10426000
2020-01-17,10519000
2020-01-18,7739000
2020-01-19,5307000
2020-01-20,10057000
2020-01-21,10409000
2020-01-22,10423000
2020-01-23,10515000
2020-01-24,10582000
2020-01-25,7814000
2020-01-26,5296000
2020-01-27,9960000
2020-01-28,10455000
2020-01-29,10549000
2020-01-30,11679000
2020-01-31,10726000
2020-02-01,7730000
2020-02-02,5243000
2020-02-03,9986000
2020-02-04,10373000
2020-02-05,10497000
2020-02-06,10587000
2020-02-07,10635000
2020-02-08,7797000
2020-02-09,4211000
2020-02-10,9994000
2020-02-11,10416000
2020-02-12,10471000
2020-02-13,10444000
2020-02-14,10551000
2020-02-15,6825000
2020-02-16,4720000
2020-02-17,9396000
2020-02-18,9594000
2020-02-19,9612000
2020-02-20,9548000
2020-02-21,9738000
2020-02-22,7390000
2020-02-23,5108000
2020-02-24,9717000
2020-02-25,10375000
2020-02-26,10444000
2020-02-27,10416000
2020-02-28,10357000
2020-02-29,7424000
2020-03-01,5403000
2020-03-02,9851000
2020-03-03,10182000
2020-03-04,10196000
2020-03-05,10006000
2020-03-06,10323000
2020-03-07,7398000
2020-03-08,5023000
2020-03-09,9586000
2020-03-10,9623000
2020-03-11,9540000
2020-03-12,9275000
2020-03-13,8710000
2020-03-14,5785000
2020-03-15,3712000
2020-03-16,7231000
2020-03-17,6167000
2020-03-18,5401000
2020-03-19,4883000
2020-03-20,4327000
2020-03-21,2336000
2020-03-22,1374000
2020-03-23,2507000
2020-03-24,1747000
2020-03-25,1466000
2020-03-26,1377000
2020-03-27,1394000
2020-03-28,952000
2020-03-29,620000
2020-03-30,1233000
2020-03-31,1237000
2020-04-01,1200000
2020-04-02,1181000
2020-04-03,1246000
2020-04-04,899000
2020-04-05,633000
2020-04-06,1183000
2020-04-07,1164000
2020-04-08,1155000
2020-04-09,1188000
2020-04-10,841000
2020-04-11,832000
2020-04-12,505000
2020-04-13,711000
2020-04-14,1177000
2020-04-15,1157000
2020-04-16,1155000
2020-04-17,1189000
2020-04-18,848000
2020-04-19,467000
2020-04-20,229000
2020-04-21,218000
2020-04-22,213000
2020-04-23,210000
2020-04-24,211000
2020-04-25,117000
2020-04-26,82000
2020-04-27,211000
2020-04-28,208000
2020-04-29,213000
2020-04-30,214000
2020-05-01,217000
2020-05-02,123000
2020-05-03,82000
2020-05-04,223000
2020-05-05,225000
2020-05-06,228000
2020-05-07,232000
2020-05-08,135000
2020-05-09,125000
2020-05-10,86000
2020-05-11,237000
2020-05-12,242000
2020-05-13,245000
2020-05-14,250000
2020-05-15,259000
2020-05-16,154000
2020-05-17,110000
2020-05-18,292000
2020-05-19,299000
2020-05-20,309000
2020-05-21,306000
2020-05-22,319000
2020-05-23,214000
2020-05-24,161000
2020-05-25,217000
2020-05-26,391000
2020-05-27,400000
2020-05-28,413000
2020-05-29,431000
2020-05-30,620000
2020-05-31,451000
2020-06-01,878000
2020-06-02,897000
2020-06-03,897000
2020-06-04,881000
2020-06-05,922000
2020-06-06,1124000
2020-06-07,843000
2020-06-08,1531000
2020-06-09,1605000
2020-06-10,1536000
2020-06-11,1573000
2020-06-12,1666000
2020-06-13,1599000
2020-06-14,1105000
2020-06-15,2165000
2020-06-16,2154000
2020-06-17,2116000
2020-06-18,2121000
2020-06-19,2328000
2020-06-20,2113000
2020-06-21,1400000
2020-06-22,2538000
2020-06-23,2568000
2020-06-24,2577000
2020-06-25,2619000
2020-06-26,2706000
2020-06-27,2152000
2020-06-28,1574000
2020-06-29,2714000
2020-06-30,2720000
2020-07-01,2806000
2020-07-02,2798000
2020-07-03,3013000
