data,TX,RR
2020-01-01,110.0,0.0
2020-01-02,100.0,20.0
2020-01-03,90.0,0.0
2020-01-04,90.0,0.0
2020-01-05,89.0,0.0
2020-01-06,131.0,8.0
2020-01-07,128.0,2.0
2020-01-08,134.0,10.0
2020-01-09,99.0,44.0
2020-01-10,114.0,0.0
2020-01-11,117.0,6.0
2020-01-12,112.0,4.0
2020-01-13,133.0,58.0
2020-01-14,102.0,126.0
2020-01-15,127.0,4.0
2020-01-16,96.0,56.0
2020-01-17,79.0,0.0
2020-01-18,77.0,0.0
2020-01-19,88.0,2.0
2020-01-20,80.0,0.0
2020-01-21,81.0,0.0
2020-01-22,81.0,2.0
2020-01-23,70.0,0.0
2020-01-24,81.0,0.0
2020-01-25,105.0,2.0
2020-01-26,96.0,30.0
2020-01-27,82.0,86.0
2020-01-28,97.0,0.0
2020-01-29,130.0,0.0
2020-01-30,128.0,2.0
2020-01-31,124.0,14.0
2020-02-01,133.0,84.0
2020-02-02,120.0,2.0
2020-02-03,94.0,2.0
2020-02-04,98.0,0.0
2020-02-05,95.0,0.0
2020-02-06,108.0,0.0
2020-02-07,111.0,14.0
2020-02-08,132.0,0.0
2020-02-09,97.0,128.0
2020-02-10,84.0,36.0
2020-02-11,91.0,0.0
2020-02-12,104.0,104.0
2020-02-13,125.0,14.0
2020-02-14,131.0,36.0
2020-02-15,118.0,138.0
2020-02-16,114.0,70.0
2020-02-17,114.0,0.0
2020-02-18,98.0,22.0
2020-02-19,103.0,14.0
2020-02-20,116.0,46.0
2020-02-21,143.0,0.0
2020-02-22,151.0,4.0
2020-02-23,122.0,32.0
2020-02-24,97.0,24.0
2020-02-25,92.0,10.0
2020-02-26,82.0,78.0
2020-02-27,119.0,16.0
2020-02-28,98.0,116.0
2020-02-29,105.0,8.0
2020-03-01,101.0,54.0
2020-03-02,106.0,0.0
2020-03-03,83.0,8.0
2020-03-04,61.0,56.0
2020-03-05,101.0,102.0
2020-03-06,133.0,0.0
2020-03-07,143.0,4.0
2020-03-08,132.0,22.0
2020-03-09,160.0,76.0
2020-03-10,154.0,0.0
2020-03-11,109.0,18.0
2020-03-12,130.0,14.0
2020-03-13,136.0,36.0
2020-03-14,122.0,0.0
2020-03-15,129.0,22.0
2020-03-16,136.0,0.0
2020-03-17,156.0,0.0
2020-03-18,79.0,10.0
2020-03-19,101.0,6.0
2020-03-20,109.0,0.0
2020-03-21,113.0,0.0
