data,TX,RR
2019-01-01,64.0,0.0
2019-01-02,55.0,0.0
2019-01-03,46.0,0.0
2019-01-04,64.0,0.0
2019-01-05,100.0,0.0
2019-01-06,111.0,0.0
2019-01-07,93.0,0.0
2019-01-08,59.0,0.0
2019-01-09,73.0,0.0
2019-01-10,91.0,0.0
2019-01-11,110.0,0.0
2019-01-12,117.0,0.0
2019-01-13,98.0,0.0
2019-01-14,97.0,0.0
2019-01-15,99.0,2.0
2019-01-16,51.0,52.0
2019-01-17,71.0,0.0
2019-01-18,55.0,0.0
2019-01-19,57.0,0.0
2019-01-20,64.0,0.0
2019-01-21,66.0,54.0
2019-01-22,34.0,48.0
2019-01-23,54.0,2.0
2019-01-24,124.0,10.0
2019-01-25,108.0,0.0
2019-01-26,67.0,58.0
2019-01-27,60.0,10.0
2019-01-28,65.0,0.0
2019-01-29,62.0,50.0
2019-01-30,44.0,0.0
2019-01-31,26.0,46.0
2019-02-01,52.0,52.0
2019-02-02,74.0,0.0
2019-02-03,97.0,50.0
2019-02-04,95.0,2.0
2019-02-05,115.0,42.0
2019-02-06,105.0,40.0
2019-02-07,111.0,12.0
2019-02-08,108.0,70.0
2019-02-09,80.0,20.0
2019-02-10,92.0,10.0
2019-02-11,123.0,0.0
2019-02-12,129.0,0.0
2019-02-13,139.0,0.0
2019-02-14,144.0,2.0
2019-02-15,119.0,0.0
2019-02-16,151.0,0.0
2019-02-17,97.0,0.0
2019-02-18,125.0,28.0
2019-02-19,133.0,0.0
2019-02-20,153.0,0.0
2019-02-21,153.0,0.0
2019-02-22,167.0,0.0
2019-02-23,168.0,0.0
2019-02-24,194.0,0.0
2019-02-25,201.0,0.0
2019-02-26,192.0,0.0
2019-02-27,131.0,0.0
2019-02-28,112.0,14.0
2019-03-01,151.0,0.0
2019-03-02,127.0,26.0
2019-03-03,107.0,50.0
2019-03-04,122.0,6.0
2019-03-05,126.0,50.0
2019-03-06,125.0,4.0
2019-03-07,106.0,2.0
2019-03-08,136.0,12.0
2019-03-09,108.0,82.0
2019-03-10,114.0,30.0
2019-03-11,98.0,6.0
2019-03-12,120.0,78.0
2019-03-13,149.0,42.0
2019-03-14,147.0,46.0
2019-03-15,125.0,0.0
2019-03-16,104.0,44.0
2019-03-17,116.0,18.0
2019-03-18,130.0,0.0
2019-03-19,130.0,0.0
2019-03-20,146.0,0.0
2019-03-21,110.0,0.0
2019-03-22,139.0,0.0
2019-03-23,149.0,0.0
2019-03-24,131.0,0.0
2019-03-25,147.0,0.0
2019-03-26,134.0,0.0
2019-03-27,161.0,0.0
2019-03-28,176.0,0.0
2019-03-29,191.0,0.0
2019-03-30,131.0,0.0
2019-03-31,145.0,0.0
2019-04-01,98.0,0.0
2019-04-02,109.0,44.0
2019-04-03,103.0,8.0
2019-04-04,143.0,14.0
2019-04-05,116.0,0.0
2019-04-06,117.0,0.0
2019-04-07,127.0,2.0
2019-04-08,117.0,28.0
2019-04-09,131.0,18.0
2019-04-10,126.0,0.0
2019-04-11,107.0,0.0
2019-04-12,99.0,0.0
2019-04-13,114.0,0.0
2019-04-14,153.0,0.0
2019-04-15,164.0,0.0
2019-04-16,192.0,0.0
2019-04-17,218.0,0.0
2019-04-18,240.0,0.0
2019-04-19,247.0,0.0
2019-04-20,246.0,0.0
2019-04-21,250.0,0.0
2019-04-22,219.0,0.0
2019-04-23,183.0,0.0
2019-04-24,173.0,6.0
2019-04-25,176.0,0.0
2019-04-26,133.0,8.0
2019-04-27,148.0,0.0
2019-04-28,161.0,0.0
2019-04-29,182.0,0.0
2019-04-30,185.0,0.0
2019-05-01,167.0,0.0
2019-05-02,155.0,14.0
2019-05-03,116.0,18.0
2019-05-04,127.0,2.0
2019-05-05,131.0,0.0
2019-05-06,175.0,0.0
2019-05-07,157.0,74.0
2019-05-08,158.0,108.0
2019-05-09,164.0,92.0
2019-05-10,168.0,0.0
2019-05-11,181.0,22.0
2019-05-12,178.0,0.0
2019-05-13,188.0,0.0
2019-05-14,207.0,0.0
2019-05-15,190.0,0.0
2019-05-16,148.0,0.0
2019-05-17,172.0,0.0
2019-05-18,186.0,0.0
2019-05-19,204.0,0.0
2019-05-20,209.0,0.0
2019-05-21,225.0,0.0
2019-05-22,247.0,0.0
2019-05-23,226.0,0.0
2019-05-24,242.0,0.0
2019-05-25,212.0,0.0
2019-05-26,200.0,0.0
2019-05-27,184.0,2.0
2019-05-28,192.0,0.0
2019-05-29,248.0,28.0
2019-05-30,207.0,0.0
2019-05-31,276.0,0.0
2019-06-01,273.0,0.0
2019-06-02,220.0,0.0
2019-06-03,175.0,0.0
2019-06-04,198.0,16.0
2019-06-05,210.0,0.0
