data,TX,RR
2021-01-01,52.0,6.0
2021-01-02,59.0,0.0
2021-01-03,54.0,2.0
2021-01-04,46.0,0.0
2021-01-05,61.0,4.0
2021-01-06,23.0,0.0
2021-01-07,27.0,0.0
2021-01-08,27.0,0.0
2021-01-09,62.0,0.0
2021-01-10,94.0,0.0
2021-01-11,89.0,60.0
2021-01-12,100.0,6.0
2021-01-13,60.0,118.0
2021-01-14,41.0,40.0
2021-01-15,84.0,48.0
2021-01-16,82.0,10.0
2021-01-17,115.0,0.0
2021-01-18,121.0,20.0
2021-01-19,101.0,10.0
2021-01-20,83.0,58.0
2021-01-21,82.0,0.0
2021-01-22,48.0,12.0
2021-01-23,15.0,0.0
2021-01-24,51.0,76.0
2021-01-25,76.0,2.0
2021-01-26,112.0,22.0
2021-01-27,135.0,204.0
2021-01-28,115.0,52.0
2021-01-29,54.0,166.0
2021-01-30,41.0,36.0
2021-01-31,101.0,14.0
2021-02-01,135.0,46.0
2021-02-02,104.0,10.0
2021-02-03,91.0,2.0
2021-02-04,108.0,64.0
2021-02-05,83.0,18.0
2021-02-06,25.0,58.0
2021-02-07,-5.0,0.0
2021-02-08,4.0,15.0
2021-02-09,30.0,25.0
2021-02-10,12.0,6.0
2021-02-11,20.0,0.0
2021-02-12,18.0,0.0
2021-02-13,79.0,0.0
2021-02-14,132.0,32.0
2021-02-15,114.0,10.0
2021-02-16,110.0,26.0
2021-02-17,107.0,24.0
2021-02-18,123.0,14.0
2021-02-19,144.0,0.0
2021-02-20,137.0,6.0
2021-02-21,102.0,0.0
2021-02-22,144.0,6.0
2021-02-23,158.0,0.0
2021-02-24,118.0,0.0
2021-02-25,131.0,0.0
2021-02-26,132.0,2.0
2021-02-27,94.0,0.0
2021-02-28,102.0,0.0
2021-03-01,87.0,0.0
2021-03-02,90.0,0.0
2021-03-03,59.0,80.0
2021-03-04,60.0,0.0
2021-03-05,69.0,0.0
2021-03-06,71.0,0.0
2021-03-07,109.0,0.0
2021-03-08,134.0,0.0
2021-03-09,112.0,0.0
2021-03-10,123.0,48.0
2021-03-11,111.0,14.0
2021-03-12,112.0,48.0
2021-03-13,102.0,8.0
2021-03-14,128.0,2.0
2021-03-15,146.0,0.0
2021-03-16,103.0,0.0
2021-03-17,105.0,8.0
2021-03-18,120.0,8.0
2021-03-19,108.0,0.0
2021-03-20,122.0,0.0
2021-03-21,144.0,0.0
2021-03-22,135.0,0.0
2021-03-23,140.0,0.0
2021-03-24,132.0,0.0
2021-03-25,126.0,0.0
2021-03-26,122.0,30.0
2021-03-27,127.0,0.0
2021-03-28,199.0,0.0
2021-03-29,238.0,0.0
2021-03-30,198.0,0.0
2021-03-31,151.0,0.0
2021-04-01,109.0,0.0
2021-04-02,98.0,0.0
2021-04-03,154.0,0.0
2021-04-04,80.0,0.0
2021-04-05,80.0,0.0
2021-04-06,80.0,0.0
2021-04-07,128.0,0.0
2021-04-08,143.0,0.0
2021-04-09,87.0,0.0
2021-04-10,98.0,0.0
2021-04-11,103.0,16.0
2021-04-12,133.0,0.0
2021-04-13,126.0,0.0
2021-04-14,115.0,0.0
2021-04-15,123.0,0.0
2021-04-16,138.0,0.0
2021-04-17,157.0,0.0
2021-04-18,178.0,0.0
2021-04-19,186.0,0.0
2021-04-20,147.0,0.0
2021-04-21,146.0,0.0
2021-04-22,172.0,0.0
2021-04-23,171.0,0.0
2021-04-24,145.0,0.0
2021-04-25,139.0,0.0
2021-04-26,161.0,0.0
2021-04-27,125.0,0.0
2021-04-28,123.0,56.0
2021-04-29,127.0,0.0
2021-04-30,133.0,0.0
2021-05-01,153.0,0.0
2021-05-02,140.0,2.0
2021-05-03,151.0,76.0
2021-05-04,144.0,2.0
2021-05-05,128.0,44.0
2021-05-06,157.0,0.0
2021-05-07,175.0,96.0
2021-05-08,204.0,2.0
2021-05-09,171.0,14.0
2021-05-10,178.0,10.0
2021-05-11,175.0,0.0
2021-05-12,145.0,16.0
2021-05-13,134.0,26.0
2021-05-14,150.0,20.0
2021-05-15,150.0,24.0
2021-05-16,165.0,126.0
2021-05-17,171.0,50.0
2021-05-18,183.0,40.0
2021-05-19,141.0,0.0
2021-05-20,133.0,8.0
2021-05-21,149.0,36.0
2021-05-22,136.0,24.0
2021-05-23,141.0,162.0
2021-05-24,159.0,54.0
2021-05-25,177.0,2.0
2021-05-26,212.0,0.0
2021-05-27,197.0,0.0
2021-05-28,216.0,12.0
2021-05-29,215.0,0.0
2021-05-30,241.0,0.0
2021-05-31,257.0,0.0
2021-06-01,279.0,0.0
2021-06-02,238.0,0.0
2021-06-03,175.0,8.0
2021-06-04,235.0,66.0
2021-06-05,232.0,2.0
